paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
"Where calculations, as per 4-3-2/7.9.2(a), indicate the possibility of whirling critical speeds within the range of Â±20% of maximum continuous ratings (M.C.R.) speed, measurements using an appropriate recognized technique are to be required to be taken from the shafting system for the purpose of determining the need for barred speed ranges.",4-3-2/7.9.2(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.9 Whirling Vibrations', '7.9.2 Calculations ', '']",4-3-2/7.9.2(a),all vessels
FIGURE 12 Whirling Vibration Systems (2024),4-3-2/7.9.2(b) FIGURE 12,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.9 Whirling Vibrations', '7.9.2 Calculations ', '']",standalone,
The shaft alignment is to be carried out in the presence of a Surveyor. The alignment is to be verified in the afloat condition with superstructure in place and major welding work completed and is to be to the satisfaction of the attending Surveyor.,4-3-2/11.1.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.1 All Vessels']",standalone,all vessels
"Where requested by the Owner, this optional class notation TCM (Tailshaft Condition Monitoring) may be assigned to a vessel with tail shafts specifically arranged with oil-lubricated stern tube bearings, provided the following requirements are complied with.",4-3-2/13.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.1 Notation (2024)']",standalone,all vessels
"In addition to the requirements for propulsion shafting in Section 4-3-2, the following design requirements are to be complied with and relevant drawing(s) and data are to be submitted for review and approval prior to commencement of the initial surveys as specified in 4-3-2/13.7.1.",4-3-2/13.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.3 System Requirements']",4-3-2/13.7.1,all vessels
The following management of the monitored data is to be implemented.,4-3-2/13.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.5 Management of the Monitored Data']",standalone,all vessels
Approved type oil seals are to be used which will allow for replacement without the shaft withdrawal or removal of the propeller.,4-3-2/13.3.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.3 System Requirements', '13.3.2 Oil Seal Design']",standalone,all vessels
Arrangements and means are to be provided for bearing wear down measurement.,4-3-2/13.3.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.3 System Requirements', '13.3.3 Bearing Wear Down Measurement']",standalone,all vessels
Stern tube bearing temperatures are to be monitored and temperature recorded daily. The systemâs oil consumption is to be recorded monthly.,4-3-2/13.5.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.5 Management of the Monitored Data', '13.5.2 Stern Tube Bearings Operating Condition']",standalone,all vessels
Refer to Section 7-9-20 of the ABS Rules for Survey After Construction (Part 7).,4-3-2/13.7.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.7 Surveys', '13.7.2 Survey After Construction']",standalone,all vessels
"A





=


shear area of key; mm2  (in.2)







D





=


line shaft diameter; mm (in); as determined by 4-3-2/5.1








r
m






=


shaft radius at mid-length of the key; mm (in.).








Y
S






=


specified yield strength of shaft material; N/mm2 (kgf/mm2, psi) 








Y
K






=


specified yield strength of key material; N/mm2  (kgf/mm2, psi)",4-3-2/5.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.7 Key']",standalone,
"For vessels to be assigned with Ice Class notations, shafting is to be designed in accordance with Part 6, Chapter 1 for the applicable ice class.",4-3-2/5.9,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.9 Strengthening for Navigation in Ice ']",standalone,Ice Breaker
"Tail shafts are to be provided with an accurate taper fit in the propeller hub, particular attention being given to the fit at the large end of the taper. The actual contact area is to be at least 70% of the theoretical contact area. The key is to fit tightly in the keyway and be of sufficient size (see 4-3-2/5.7) to transmit the full torque of the shaft, but it is not to extend into the propeller hub counterbore (to accommodate the liner) on the forward side of the propeller hub. The forward end of the keyway is to be so cut in the shaft as to give a gradual rise from the bottom of the keyway to the surface of the shaft (see 4-3-2/5 FIGURE 2). Ample fillets (see Note of 4-3-2/5 TABLE 1) are to be provided in the corners of the keyway and, in general, stress concentrations are to be reduced.",4-3-2/5.11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.11 Tail Shaft Propeller-end Design ']",4-3-2/5 FIGURE 2,all vessels
"Tail shafts are to be provided with an accurate taper fit in the propeller hub, particular attention being given to the fit at the large end of the taper. The actual contact area is to be at least 70% of the theoretical contact area. The key is to fit tightly in the keyway and be of sufficient size (see 4-3-2/5.7) to transmit the full torque of the shaft, but it is not to extend into the propeller hub counterbore (to accommodate the liner) on the forward side of the propeller hub. The forward end of the keyway is to be so cut in the shaft as to give a gradual rise from the bottom of the keyway to the surface of the shaft (see 4-3-2/5 FIGURE 2). Ample fillets (see Note of 4-3-2/5 TABLE 1) are to be provided in the corners of the keyway and, in general, stress concentrations are to be reduced.",4-3-2/5.11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.11 Tail Shaft Propeller-end Design ']",4-3-2/5 TABLE 1,all vessels
"Tail shafts are to be provided with an accurate taper fit in the propeller hub, particular attention being given to the fit at the large end of the taper. The actual contact area is to be at least 70% of the theoretical contact area. The key is to fit tightly in the keyway and be of sufficient size (see 4-3-2/5.7) to transmit the full torque of the shaft, but it is not to extend into the propeller hub counterbore (to accommodate the liner) on the forward side of the propeller hub. The forward end of the keyway is to be so cut in the shaft as to give a gradual rise from the bottom of the keyway to the surface of the shaft (see 4-3-2/5 FIGURE 2). Ample fillets (see Note of 4-3-2/5 TABLE 1) are to be provided in the corners of the keyway and, in general, stress concentrations are to be reduced.",4-3-2/5.11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.11 Tail Shaft Propeller-end Design ']",4-3-2/5.7,all vessels
"The length of the bearing, next to and supporting the propeller, is to be not less than four times the required tail-shaft diameter. However, for bearings of rubber, reinforced resins, or plastic materials, the length of the bearing, next to and supporting the propeller, may be less than four times, but not less than two times the required tail shaft diameter, provided the bearing design is being substantiated by experimental tests to the satisfaction of ABS. Synthetic materials for application as water-lubricated stern tube bearings are to be of approved type.",4-3-2/5.15.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.1 Water-lubricated Bearings  (2021)']",standalone,all vessels
"The length of grease-lubricated bearings, next to and supporting the propeller, is to be not less than four times the diameter of the required tail shaft diameter.",4-3-2/5.15.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.3 Grease-lubricated Bearings  (2021)']",standalone,all vessels
"t





=


thickness of liner; mm (mm, in.). 







T





=


required diameter of tail shaft; mm (mm, in.).",4-3-2/5.17.1(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.1 Thickness at Bearings ', '5.17.1(a) Bronze liner']",standalone,
The thickness of a continuous bronze liner between bearings is to be not less than three-fourths of the thickness required in way of bearings.,4-3-2/5.17.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.2 Thickness Between Bearings ']",standalone,all vessels
"All liners are to be carefully shrunk or forced upon the shaft by pressure and they are not to be secured by pins. If the liner does not fit the shaft tightly between the bearing portions, the space between the shaft and liner is to be filled by pressure with an insoluble non-corrosive compound.",4-3-2/5.17.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.3 Liner Fitting ']",standalone,all vessels
"Glass reinforced plastic coatings may be fitted on propulsion shafting when applied by a trained technician, utilizing a procedure that complies with a nationally recognized standard, such as ASTM D5162, to the satisfaction of the Surveyor. Such coatings are to consist of at least four plies of cross-woven glass tape impregnated with resin, or an equivalent process. Prior to coating, the shaft is to be cleaned with a suitable solvent and grit-blasted. The shaft is to be examined prior to coating and the first layer is to be applied in the presence of the Surveyor. Subsequent to coating, the finished shaft is to be subjected to a spark test or equivalent to verify freedom from porosity to the satisfaction of the Surveyor. In all cases where reinforced plastic coatings are employed, effective means are to be provided to prevent water gain access to the metal of the shaft. Provisions are to be made for over-lapping and adequately bonding the coating to fitted or clad liners. The end of the liner is to be stepped and tapered as required to protect the end of the wrapping.",4-3-2/5.17.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.4 Glass Reinforced Plastic Coating  (2019)']",standalone,all vessels
"Stainless steel cladding of shafts is to be carried out in accordance with 7-A1-11 ""Repair and Cladding of Shafts"" of the ABS Rules for Survey After Construction (Part 7).",4-3-2/5.17.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.5 Stainless Steel Cladding ']",standalone,all vessels
"B





=


bolt circle diameter; mm (mm, in.)







c





=


constant, as given below






 



SI unit




MKS unit




 US unit









c






 160 


 16.3 


 23,180 










d
b






=


diameter of bolt at joints; mm (mm, in.)







D





=


diameter of the shaft in vicinity of the respective coupling flanges, mm (mm, in.).

Alternatively, D may be taken as the minimum required shaft diameter designed considering the largest combined torque (static and dynamic), acting at the shaft in vicinity of the respective coupling flanges; mm (mm, in.), see 4-3-2/7.5.







N





=


number of bolts fitted in one coupling 







U





=


minimum specified tensile strength of shaft material as defined in 4-3-2/5.1; N/mm2 (kgf/mm2, psi)








U
b






=


minimum specified tensile strength of bolt material; N/mm2  (kgf/mm2, psi), subject to the following conditions: 


Selected bolt material is to have minimum specified tensile strength Ub at least equal to U. 


Regardless of the actual minimum tensile strength, the value of Ub used in these calculations is not to exceed 1.7U nor 1000 N/mm2  (102 kgf/mm2, 145,000 psi).",4-3-2/5.19.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.1 Fitted Bolts (2024)']",standalone,
"Clutch design type 




 Minimum service factor 







 Drum-type clutch or Disc type, air-actuated, air cooled clutches 


 




 Shafting system fitted with fixed pitch propeller 


 1.7 




 Shafting system fitted with fixed pitch propeller and shaft brake 


 1.5 




 Shafting system fitted with controllable pitch propeller 


 1.5 




 Hydraulically-actuated, oil cooled multiple-plate clutches 


 1.7",4-3-2/5.19.6(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.6 Clutches ', '5.19.6(a) Design (2024)']",standalone,
"Clutches intended for use in propulsion shafting are to be of approved design. They are to be designed to transmit the maximum power at rated speed. The minimum service factor, determined by the ratio of the clutch static holding capacity to the rated torque, is to be as follows:",4-3-2/5.19.6(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.6 Clutches ', '5.19.6(a) Design (2024)']",standalone,all vessels
Dimensions of all torque transmitting components and their materials,4-3-2/1.5.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.5 Plans and Particulars to be Submitted ', '1.5.4 For Cardan Shafts ']",standalone,all vessels
After assembly all coupling bolts and associated nuts are to be fitted with locking arrangement.,4-3-2/5.19.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.7 Locking Arrangement ']",standalone,all vessels
"Cardan shafts are to be designed in accordance with the equation for propulsion shaft in 4-3-2/5.1 and flanges and bolts are to be in accordance with 4-3-2/5.19.1, 4-3-2/5.19.2 and 4-3-2/5.19.3. The design of splines, yokes and cross-members are to be evaluated based on engineering analyses which are to be submitted for review. Where applicable, the cardan shaft assembly is to contain means for handling bearing thrust or pull from the propeller.",4-3-2/5.21,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.21 Cardan Shaft ']",4-3-2/5.1,all vessels
"Cardan shafts are to be designed in accordance with the equation for propulsion shaft in 4-3-2/5.1 and flanges and bolts are to be in accordance with 4-3-2/5.19.1, 4-3-2/5.19.2 and 4-3-2/5.19.3. The design of splines, yokes and cross-members are to be evaluated based on engineering analyses which are to be submitted for review. Where applicable, the cardan shaft assembly is to contain means for handling bearing thrust or pull from the propeller.",4-3-2/5.21,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.21 Cardan Shaft ']",4-3-2/5.19.1,all vessels
"Cardan shafts are to be designed in accordance with the equation for propulsion shaft in 4-3-2/5.1 and flanges and bolts are to be in accordance with 4-3-2/5.19.1, 4-3-2/5.19.2 and 4-3-2/5.19.3. The design of splines, yokes and cross-members are to be evaluated based on engineering analyses which are to be submitted for review. Where applicable, the cardan shaft assembly is to contain means for handling bearing thrust or pull from the propeller.",4-3-2/5.21,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.21 Cardan Shaft ']",4-3-2/5.19.2,all vessels
"Cardan shafts are to be designed in accordance with the equation for propulsion shaft in 4-3-2/5.1 and flanges and bolts are to be in accordance with 4-3-2/5.19.1, 4-3-2/5.19.2 and 4-3-2/5.19.3. The design of splines, yokes and cross-members are to be evaluated based on engineering analyses which are to be submitted for review. Where applicable, the cardan shaft assembly is to contain means for handling bearing thrust or pull from the propeller.",4-3-2/5.21,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.21 Cardan Shaft ']",4-3-2/5.19.3,all vessels
"In addition to the design requirements addressed above, additional stresses in the shafting system resulting from the shaft alignment in relation to the location and spacing of the shaft bearings, and by axial, whirling and torsional vibrations are to be evaluated and to comply with this section.",4-3-2/7.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.1 General']",standalone,all vessels
"Bearing loads under all operating conditions are within the acceptable limits specified by the bearing manufacturer. 


 Bearing reactions are always positive (i.e. supporting the shaft)), except as determined acceptable in accordance with 4-3-2/11.1.2(e).v.


Shear forces and bending moments on propulsion equipment are within the limits specified by manufacturers.


Shear forces and bending moments at the crankshaft flange are in accordance with the engine manufacturerâs limits.
Moreover, the shaft alignment calculations are to include the following (as applicable):



Geared Systems. In case of geared systems, the calculated misalignment between main gear and pinion is to be less than 0.1*10-3 [rad] unless the verification and adjustment procedure of misalignment between main gear and pinion are submitted for reference (i.e., the foregoing misalignment is verified by the tooth contact pattern in the case of no load condition during installation and by load condition during shipboard trial).



Misalignment Slope. The designed relative misalignment slope between the shaft and the tail shaft bearing is to be positive, and not to exceed 0.3*10-3 [rad].
Commentary:
The relative misalignment slope of the shaft inside the bearing is defined by the shaft deflection curvature as shown in Section 2, Figure 7 of ABS Guidance Notes on Propulsion Shafting Alignment.


End of Commentary







Stern Tube Bearing Fitting 

(if applicable)
. Based on the actual interference fit tolerances, the stern tube bearing fitting calculation, including fitting pressure and push-in distance, is to be submitted for review. 



Tail Shaft Bearing Clearance Calculation . A clearance calculation, on aft and forward stern tube bearing, with alignment model showing only the propeller shaft on two stern tube bearings, is to be included in the shaft alignment analysis report and submitted to ABS for review. In installations with no forward stern tube bearing, the clearance is to be calculated with the propeller shaft and the intermediate shaft connected including the intermediate shaft bearing or a temporary support utilized as a second support instead of the forward stern tube bearing. In both cases, the calculation is to be conducted with no propeller considered and with bearings modeled as multiple supporting points, which, as a minimum, are to include the forward and the aft edge of each bearing.
In addition, the shaft alignment analysis is to identify:


Sag and gap data and temporary support location corresponding to the condition(s) in which they will be measured. See 4-3-2/Figure 5.

FIGURE 5 Flange Arrangement in Sag and Gap Analysis (2024)




Jack up locations. See 4-3-2/Figure 6.

FIGURE 6 Jack-up Reaction Measurement (2024)",4-3-2/7.3.2(a) 7.3.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.2 Shaft Alignment Calculations', '7.3.2(a)  (2019)']",standalone,
"TABLE 4 Allowable Torsional Vibratory Stress  (2021)


 



 SI units 




 MKS units 




 US units 











S


 = allowable vibratory stress 






U
+
160

18


C
K


C
D


C
r





N/mm2






U
+
16
.
3

18


C
K


C
D


C
r





kgf/mm2






U
+
23180

18


C
K


C
D


C
r





psi 







U

 =minimum tensile strength of shaft material


 To be taken as not more than 600 N/mm2 for carbon and carbon manganese steels and not more than 800 N/mm2 for alloy steels (see Note)


 To be taken as not more than 61.2 kgf/mm2 for carbon and carbon manganese steels and not more than 81.5 kgf/mm2 for alloy steels (see Note) 


 To be taken as not more than 87,000 psi for carbon and carbon manganese steels and not more than 116,000 psi for alloy steels (see Note) 








C
K


 = shaft design factor 


See 4-3-2/Tables 1 and 2








C
D


 = size factor 




0
.
35
+


0
.
93


d
5








0
.
35
+


0
.
93


d
5








0
.
35
+


0
.
487


d
5











d

 = actual shaft diameter


mm


 mm 


 in. 








C
r


 = speed ratio factor 





3
â
2

Î»
2


 for Î»<0.9; 1.38 for 0.9â¤Î»â¤1.05







Î»







Î»
=


Critical
 
Speed
 
(
RPM
)
â
at
 
which
 
vibratory
 
stress
 
is
 
calculated


rated
 
speed
 
(
RPM
)











Note:



 Regardless of the actual minimum specified tensile strength of the shaft (tail shaft, tube shaft, line shaft and crankshaft, as applicable) material, the value of U used in these calculations is not to exceed the values indicated. Higher values of U, but not exceeding 950 N/mm2 (96.8 kgf/mm2, 137,750 psi), are acceptable for the line shaft, subject to satisfactory fatigue assessment for the line shaft, see Appendix 4-3-2-A1.",4-3-2/7.5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.1 Allowable Torsional Vibration Stress (2024)']",standalone,
"Materials for propulsion shafts, couplings and coupling bolts, keys and clutches are to be of forged steel or rolled bars, as appropriate, in accordance with Sections 2-3-7 and 2-3-8 of the ABS Rules for Materials and Welding (Part 2). Where material specifications other than those specified in these Rules are proposed, they are to be specially approved with a specific design. Full details of chemical composition, heat treatment and mechanical properties, as appropriate, are to be submitted for approval. ",4-3-2/3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.1 General  (2024)']",standalone,all vessels
"The minimum specified ultimate tensile strength of steel used for propulsion shafting is to be between 400 N/mm2 (40.7 kgf/mm2, 58,000 psi) and 800 N/mm2 (81.5 kgf/mm2, 116,000 psi).The upper limit can be extended up to 930 N/mm2 (95.0 kgf/mm2, 135,000 psi) for vessels below 90 m (295 ft) in length.",4-3-2/3.1.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.1 General  (2024)', '3.1.1 Ultimate Tensile Strength ']",standalone,all vessels
"For diesel engine installations, vibratory stresses are to be calculated with any one cylinder not firing and the calculations are to be submitted for information.",4-3-2/7.5.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.2 Diesel Engine Installations ']",standalone,all vessels
"S
2






=


allowable vibratory stress within a barred range, N/mm2  (kgf/mm2  , psi)",4-3-2/7.5.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.3 Barred Speed Ranges ']",standalone,
"n
c






=


critical speed








n
â






=


lower limit








n
u






=


upper limit",4-3-2/7.5.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.3 Barred Speed Ranges ']",standalone,
"Where a barred speed range is identified as in 4-3-2/7.5.3, the tachometer is to be marked and a warning notice is to be displayed at all propulsion control stations (local and remote) to caution that operation in the barred range is to be avoided except for passing through. Where remote propulsion control is fitted on the navigation bridge or where a centralized control station is fitted, means are to be provided at these remote propulsion control stations to alert the operator of any operation of the propulsion drive within the barred range. This may be achieved by a visual display or alarm.",4-3-2/7.5.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.4 Marking of Tachometer and Alarms ']",4-3-2/7.5.3,all vessels
"Because critical torsional vibration has deleterious effects other than shafting fatigue, the limits in 4-3-2/7.5.1 are not intended for direct application as design factors, and it is desirable that the service range above 90% of rated speed be kept clear of torsional critical speeds insofar as practicable.",4-3-2/7.5.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.5 Other Effects ']",4-3-2/7.5.1,all vessels
"When the calculation indicates that criticals occur within the operating range, whose severity approaches or exceeds the limits in 4-3-2/7.5.1, torsiograph tests may be required to verify the calculations and to assist in determining ranges of restricted operation.",4-3-2/7.5.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.6 Torsiograph Tests ']",4-3-2/7.5.1,all vessels
"When torsional vibratory stresses exceed the limits in 4-3-2/7.5.1 and a barred range is not acceptable, the propulsion system is to be redesigned, or vibration dampers are to be fitted to reduce the stresses.",4-3-2/7.5.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.7 Vibration Dampers ']",4-3-2/7.5.1,all vessels
"When the propeller is driven through reduction gear, or when geared booster power or power take-off is provided, a barred range is to be provided at the acceptable critical speed if gear tooth chatter occurs during continuous operation at this speed.",4-3-2/7.5.8,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.8 Gears ']",standalone,all vessels
FIGURE 11 Axial Vibration Systems (2024),4-3-2/7.7 FIGURE 11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.7 Axial Vibrations  (2024)']",standalone,
"The calculations in 4-3-2/7.9.1, are to take into account bearing and oil-film stiffness and are to investigate the excitation frequencies giving rise to all critical speeds which may result in significant vibration amplitudes within the speed range.",4-3-2/7.9.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.9 Whirling Vibrations', '7.9.2 Calculations ', '']",4-3-2/7.9.1,all vessels
"Shafting components are to be inspected, tested and certified by a Surveyor at the plant of the manufacturer in accordance with the following requirements.",4-3-2/9.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '9 Inspection', ' Testing and Certification ', '9.1 General ']",standalone,all vessels
For testing of shafting component materials see 4-3-2/3.7.,4-3-2/9.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '9 Inspection', ' Testing and Certification ', '9.3 Material Testing ']",4-3-2/3.7,all vessels
"All propulsion shafts and associated parts, such as coupling bolts, are to be visually examined for surface flaws, out of roundness, straightness, and dimensional tolerances. The Surveyor in case of doubts may require additional non-destructive testing. See 4-3-2/3.7.3 for tail shaft requirements.",4-3-2/9.5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '9 Inspection', ' Testing and Certification ', '9.5 Propulsion Shafts and Associated Parts ', '9.5.1 Power Transmitting Parts ']",4-3-2/3.7.3,all vessels
"Shaft liners are to prove tight under hydrostatic test of 1.0 bar (1 kgf/cm2, 15 psi). After assembly, the fit of the liner to the shaft is to be checked for freedom from voids. Any void in way of bearings is to be dealt with as in 4-3-2/5.17.3.",4-3-2/9.5.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '9 Inspection', ' Testing and Certification ', '9.5 Propulsion Shafts and Associated Parts ', '9.5.2 Liners ']",4-3-2/5.17.3,all vessels
